CUSIP,SYMBOL
98986M103,ZYXI
307359117,FFIEW
30258N105,FAT
302635206,FSK
30329Y106,FGF
30329Y205,FGFPP
30336Y107,FUUFF
307305102,FANUY
307359885,FFIE
302491303,FMC
30744W107,FTCHQ
30779N105,FMAO
31154R109,FPI
31188H101,FRCOY
31188V100,FSLY
31200N201,FNICF
30254T577,FPAG
30237P106,FMBM
313148868,AGMPRD
30212P303,EXPE
30151E780,AMOM
30151E798,QRFT
30162V607,XELAP
30162V805,XELA
30190A203,FGN
30205M309,XCUR
30212W100,EXPI
30233C109,AXXA
30215C101,EXPGY
30218B100,XPON
30222R109,EXROF
30223G102,EXAI
30231G102,XOM
302314406,EZFL
313148108,AGMA
313400624,FMCKJ
301505673,SIXS
316092204,FDIS
31609A602,FFLV
31609R100,FDBC
316092113,FELC
316092139,FDTX
316092154,FDFF
316092162,FDCF
316092246,FCLD
315912808,ONEQ
316092253,FRNW
316092261,FPFD
316092279,FSST
316092287,FDWM
316092345,FBCV
316092360,FFLC
31609A404,FENI
31572Q808,FGEN
313586752,FNMAS
31423L404,FTRB
313586760,FNMAJ
313745101,FRT
313745200,FRTPRC
313855108,FSS
31423L107,FCSH
31423L305,FDV
31423L503,FLCC
315293308,FGPRB
31423L701,FLCV
31423L800,FLCG
31428X106,FDX
31447N204,BCAN
31488V107,FERG
315219105,FERN
30151E558,BCUS
301505665,SIXH
316092527,FSMD
29359J302,ENMPY
29286M105,ENGN
29286U107,EGIEY
29287L502,AIFD
29287L700,FLXR
29350E104,RENB
29355A107,ENPH
29359U208,ESGRO
29280W109,NRGV
293594107,ENVX
293602405,ENSC
29364D100,EAI
29364P509,ENJ
29364W108,ELC
293712303,EFSCP
29286D105,ENGIY
29279W300,ENDMF
29384C108,TRDA
29258Y103,EXK
29109X106,AZPN
292034303,EP
292218104,EIG
292454105,EMPYF
29250N105,ENB
29258N206,ELEZY
29259W700,EU
29275Y102,ENS
29260Y109,EDR
29261A100,EHC
29265W207,ENLAY
292671708,UUUU
29268T508,EFOI
29273B401,NDRA
293828877,XOVR
29414V209,EVTV
301505640,INDF
29978K102,MNTN
29882P106,EWCZ
29911Q208,EVBN
29970N104,EVEX
29970R204,EVAX
29975E109,EB
29977A105,EVR
30048L302,EVFM
29873D104,EGFEY
30049G302,EVOK
30052F100,EVGO
30052F118,EVGOW
301505459,LNGZ
301505483,MUSQ
301505558,INQQ
29873W102,ERNXY
29872T100,EUMNF
29415B103,EVA
29446Y502,EQX
29415C101,EOSE
29415C119,EOSEW
29415F104,NVST
29415V109,COCH
29429L105,EPOKY
294411103,EQUEY
29452E200,EQHPRA
29842P105,EPRX
29460X109,EQBK
29530P102,ERIE
296006109,ERO
296650104,ESP
29668H708,EPIX
29670E107,EPRT
316092386,FCPI
316092535,FDEV
29082A107,ERJ
33739P103,FTLS
33738R738,KNGZ
33738R795,FTXR
33738R837,FTXH
33738R878,FVC
33739G103,FMF
33739N108,FMB
33739P202,FEMB
33738R662,FICS
33739P301,FMHI
33739P830,FSMB
33739P855,FPEI
33739P863,FCAL
33739P871,HDMV
33739P889,HUSV
33738R704,AIRR
33738R613,EMOT
33739Q804,EIPX
33738D796,FIIG
33737K205,NXTG
33737M201,FNK
33737M300,FYC
33738D408,HYLS
33738D606,LGOV
33738D788,FTCB
33738D804,FSIG
33738R506,RDVY
33738D812,TDVI
33738D820,SDVD
33738D838,MGOV
33738D846,DOGG
33738R118,TDIV
33738R308,FTHI
33739Q507,FCVT
33740F193,QMAG
33737J406,FDTS
33740F789,MMLG
33740F698,DJUL
33740F714,DJUN
33740F722,FJUN
33740F748,FMAY
33740F763,FFEB
33740F771,DFEB
33740F821,AFLG
33740F581,QMAR
33740F854,DAUG
33740F862,FAUG
33740F888,UCON
33740J203,MARB
33740U109,DEED
33740U208,FJUL
33740F599,FMAR
33740F565,ILDR
33740F219,QCJL
33740F391,XAUG
33740F227,RSJN
33740F235,XIJN
33740F243,BUFS
33740F284,QCAP
33740F326,XIDE
33740F375,XISE
33740F417,SAUG
33740F557,QJUN
33740F425,XJUL
33740F433,GJUN
33740F490,LALT
33740F508,MFLX
33740F516,GJAN
33740F540,CRPT
33737J802,NFTY
33737J307,FEMS
316092600,FHLC
318093101,FTGFF
31624J745,FHEQ
316773886,FITBP
31738L206,FOA
31761T886,CCNR
31788K108,FNGR
317970101,AIFF
31846B108,FA
31620M106,FIS
318641107,FANCF
319626305,FCNCP
31983A103,FCBC
32020R109,FFIN
32043P205,FGBIP
320517402,FHNPRE
31624J737,FBUF
316188887,FSBD
320517600,FHNPRC
316092865,FUTY
316092618,FDHY
316092717,FIVA
316092725,FIDI
316092808,FTEC
316092816,FDMO
316092840,FDVV
